"data/spectra/128nemesis.lbl    ","Sawyer, S., 128nemesis. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_128NEMESIS_TAB. NASA Planetary Data System, 1998.                 ","128 NEMESIS   ","ASTEROID","128nemesis.tab    ","SPECTRA_128NEMESIS_TAB    ","1990-07-11","1990-07-11","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/130elektra.lbl    ","Sawyer, S., 130elektra. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_130ELEKTRA_TAB. NASA Planetary Data System, 1998.                 ","130 ELEKTRA   ","ASTEROID","130elektra.tab    ","SPECTRA_130ELEKTRA_TAB    ","1990-07-09","1990-07-09","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/137meliboea.lbl   ","Sawyer, S., 137meliboea. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_137MELIBOEA_TAB. NASA Planetary Data System, 1998.               ","137 MELIBOEA  ","ASTEROID","137meliboea.tab   ","SPECTRA_137MELIBOEA_TAB   ","1990-07-08","1990-07-08","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/13egeria.lbl      ","Sawyer, S., 13egeria. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_13EGERIA_TAB. NASA Planetary Data System, 1998.                     ","13 EGERIA     ","ASTEROID","13egeria.tab      ","SPECTRA_13EGERIA_TAB      ","1990-07-11","1990-07-11","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/148gallia.lbl     ","Sawyer, S., 148gallia. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_148GALLIA_TAB. NASA Planetary Data System, 1998.                   ","148 GALLIA    ","ASTEROID","148gallia.tab     ","SPECTRA_148GALLIA_TAB     ","1990-07-08","1990-07-08","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/14irene1.lbl      ","Sawyer, S., 14irene1. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_14IRENE1_TAB. NASA Planetary Data System, 1998.                     ","14 IRENE      ","ASTEROID","14irene1.tab      ","SPECTRA_14IRENE1_TAB      ","1986-12-20","1986-12-20","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/14irene2.lbl      ","Sawyer, S., 14irene2. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_14IRENE2_TAB. NASA Planetary Data System, 1998.                     ","14 IRENE      ","ASTEROID","14irene2.tab      ","SPECTRA_14IRENE2_TAB      ","1986-12-24","1986-12-24","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/171ophelia.lbl    ","Sawyer, S., 171ophelia. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_171OPHELIA_TAB. NASA Planetary Data System, 1998.                 ","171 OPHELIA   ","ASTEROID","171ophelia.tab    ","SPECTRA_171OPHELIA_TAB    ","1990-07-12","1990-07-12","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/173ino.lbl        ","Sawyer, S., 173ino. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_173INO_TAB. NASA Planetary Data System, 1998.                         ","173 INO       ","ASTEROID","173ino.tab        ","SPECTRA_173INO_TAB        ","1990-07-08","1990-07-08","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/190ismene.lbl     ","Sawyer, S., 190ismene. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_190ISMENE_TAB. NASA Planetary Data System, 1998.                   ","190 ISMENE    ","ASTEROID","190ismene.tab     ","SPECTRA_190ISMENE_TAB     ","1988-10-05","1988-10-05","MCD27           ","McDonald Observatory 2.72-m Harlan Smith Ritchey-Chretien equatorial refl.                                                                 ","LCS         ","Large Cassegrain Spectrometer","SAWYER1991                              "
