0.7007 0.8606 0.0000
0.7022 0.8505 0.0311
0.7037 0.8545 0.0280
0.7052 0.8507 0.0282
0.7068 0.8497 0.0307
0.7084 0.8609 0.0260
0.7100 0.8644 0.0230
0.7117 0.8754 0.0229
0.7134 0.8686 0.0226
0.7151 0.8595 0.0000
0.7169 0.8536 0.0283
0.7187 0.8843 0.0245
0.7205 0.8626 0.0245
0.7224 0.8753 0.0181
0.7243 0.8822 0.0167
0.7262 0.8643 0.0191
0.7282 0.8496 0.0389
0.7301 0.8698 0.0271
0.7322 0.8794 0.0195
0.7342 0.8633 0.0266
0.7363 0.8688 0.0173
0.7384 0.8845 0.0190
0.7405 0.8660 0.0237
0.7427 0.8705 0.0212
0.7449 0.8720 0.0183
0.7471 0.8637 0.0221
0.7494 0.8701 0.0072
0.7517 0.8735 0.0226
0.7540 0.8590 0.0199
0.7563 0.8698 0.0182
0.7587 0.8495 0.0279
0.7611 0.8600 0.0161
0.7635 0.8497 0.0184
0.7659 0.8591 0.0236
0.7684 0.8503 0.0167
0.7709 0.8536 0.0185
0.7734 0.8440 0.0109
0.7760 0.8524 0.0161
0.7786 0.8603 0.0204
0.7812 0.8692 0.0094
0.7838 0.8678 0.0170
0.7864 0.8727 0.0161
0.7891 0.8691 0.0140
0.7918 0.8852 0.0104
0.7946 0.8721 0.0151
0.7973 0.8805 0.0056
0.8001 0.8816 0.0112
0.8029 0.8539 0.0201
0.8057 0.8710 0.0142
0.8086 0.8795 0.0144
0.8114 0.8663 0.0119
0.8143 0.8677 0.0135
0.8172 0.8689 0.0113
0.8202 0.8508 0.0191
0.8231 0.8523 0.0110
0.8261 0.8640 0.0122
0.8291 0.8603 0.0152
0.8322 0.8620 0.0082
0.8352 0.8496 0.0100
0.8383 0.8359 0.0166
0.8414 0.8421 0.0118
0.8445 0.8436 0.0111
0.8476 0.8355 0.0130
0.8508 0.8395 0.0089
0.8539 0.8345 0.0120
0.8571 0.8364 0.0058
0.8603 0.8202 0.0106
0.8636 0.8243 0.0060
0.8668 0.8196 0.0100
0.8701 0.8159 0.0063
0.8734 0.8145 0.0071
0.8767 0.8071 0.0054
0.8800 0.8026 0.0109
0.8833 0.8087 0.0094
0.8867 0.7983 0.0095
0.8901 0.7945 0.0112
0.8935 0.8040 0.0063
0.8969 0.7983 0.0080
0.9003 0.7921 0.0097
0.9038 0.7987 0.0110
0.9072 0.8032 0.0080
0.9107 0.8205 0.0057
0.9142 0.8203 0.0103
0.9177 0.8185 0.0077
0.9212 0.8337 0.0100
0.9248 0.8373 0.0107
0.9283 0.8306 0.0101
0.9319 0.8420 0.0070
0.9355 0.8419 0.0085
0.9391 0.8508 0.0110
0.9427 0.8458 0.0122
0.9464 0.8500 0.0137
0.9500 0.8430 0.0115
0.9537 0.8554 0.0045
0.9574 0.8496 0.0032
0.9611 0.8274 0.0091
