"data/compspectra/22kalliope.lbl                  ","22 KALLIOPE    ","ASTEROID","22kalliope.tab                 ","COMPSPECTRA_22KALLIOPE_TAB              ","2005-08-13      ","2007-12-21      ","{ OBS376T3, OBS056T9 }          ","{ MAUNA KEA OBSERVATORY 3.0-M NASA INFRARED TELESCOPE FACILITY (IRTF), EUROPEAN SOUTHERN OBSERVATORY NEW TECHNOLOGY TELESCOPE (NTT) }                                                                                              ","{ I0046, I0373 }                     ","{ SPEX, ESO MULTI-MODE INSTRUMENT: RILD MODE }                                                                                                              ","FORNASIERETAL2010"
"data/compspectra/250bettina.lbl                  ","250 BETTINA    ","ASTEROID","250bettina.tab                 ","COMPSPECTRA_250BETTINA_TAB              ","2004-11-18      ","2004-11-21      ","OBS270T7                        ","ROQUE DE LOS MUCHACHOS OBSERVATORY 3.5-M GALILEO ZEISS RITCHEY-CHRETIEN ALTAZIMUTH REFLECTOR                                                                                                                                       ","{ I1092, I1093 }                     ","{ DOLORES (DEVICE OPTIMIZED FOR LOW RESOLUTION), NEAR INFRARED CAMERA SPECTROMETER (NICS) }                                                                 ","FORNASIERETAL2010"
"data/compspectra/325heidelberga.lbl              ","325 HEIDELBERGA","ASTEROID","325heidelberga.tab             ","COMPSPECTRA_325HEIDELBERGA_TAB          ","2004-11-19      ","2004-11-20      ","OBS270T7                        ","ROQUE DE LOS MUCHACHOS OBSERVATORY 3.5-M GALILEO ZEISS RITCHEY-CHRETIEN ALTAZIMUTH REFLECTOR                                                                                                                                       ","{ I1092, I1093 }                     ","{ DOLORES (DEVICE OPTIMIZED FOR LOW RESOLUTION), NEAR INFRARED CAMERA SPECTROMETER (NICS) }                                                                 ","FORNASIERETAL2010"
"data/compspectra/338budrosa.lbl                  ","338 BUDROSA    ","ASTEROID","338budrosa.tab                 ","COMPSPECTRA_338BUDROSA_TAB              ","2005-08-12      ","2005-08-13      ","OBS056T9                        ","EUROPEAN SOUTHERN OBSERVATORY NEW TECHNOLOGY TELESCOPE (NTT)                                                                                                                                                                       ","{ I0373, I1094 }                     ","{ ESO MULTI-MODE INSTRUMENT: RILD MODE, SOFI (SON OF ISAAC) }                                                                                               ","FORNASIERETAL2010"
"data/compspectra/347pariana.lbl                  ","347 PARIANA    ","ASTEROID","347pariana.tab                 ","COMPSPECTRA_347PARIANA_TAB              ","2005-08-12      ","2005-08-13      ","OBS056T9                        ","EUROPEAN SOUTHERN OBSERVATORY NEW TECHNOLOGY TELESCOPE (NTT)                                                                                                                                                                       ","{ I0373, I1094 }                     ","{ ESO MULTI-MODE INSTRUMENT: RILD MODE, SOFI (SON OF ISAAC) }                                                                                               ","FORNASIERETAL2010"
"data/compspectra/369aeria.lbl                    ","369 AERIA      ","ASTEROID","369aeria.tab                   ","COMPSPECTRA_369AERIA_TAB                ","2005-08-12      ","2005-08-13      ","OBS056T9                        ","EUROPEAN SOUTHERN OBSERVATORY NEW TECHNOLOGY TELESCOPE (NTT)                                                                                                                                                                       ","{ I0373, I1094 }                     ","{ ESO MULTI-MODE INSTRUMENT: RILD MODE, SOFI (SON OF ISAAC) }                                                                                               ","FORNASIERETAL2010"
"data/compspectra/382dodona.lbl                   ","382 DODONA     ","ASTEROID","382dodona.tab                  ","COMPSPECTRA_382DODONA_TAB               ","2005-08-13      ","2005-08-13      ","OBS056T9                        ","EUROPEAN SOUTHERN OBSERVATORY NEW TECHNOLOGY TELESCOPE (NTT)                                                                                                                                                                       ","I0373                                ","ESO MULTI-MODE INSTRUMENT: RILD MODE                                                                                                                        ","FORNASIERETAL2010"
"data/compspectra/418alemannia.lbl                ","418 ALEMANNIA  ","ASTEROID","418alemannia.tab               ","COMPSPECTRA_418ALEMANNIA_TAB            ","2007-01-20      ","2007-01-20      ","OBS056T9                        ","EUROPEAN SOUTHERN OBSERVATORY NEW TECHNOLOGY TELESCOPE (NTT)                                                                                                                                                                       ","I0373                                ","ESO MULTI-MODE INSTRUMENT: RILD MODE                                                                                                                        ","FORNASIERETAL2010"
"data/compspectra/441bathilde.lbl                 ","441 BATHILDE   ","ASTEROID","441bathilde.tab                ","COMPSPECTRA_441BATHILDE_TAB             ","2005-08-12      ","2005-08-13      ","OBS056T9                        ","EUROPEAN SOUTHERN OBSERVATORY NEW TECHNOLOGY TELESCOPE (NTT)                                                                                                                                                                       ","{ I0373, I1094 }                     ","{ ESO MULTI-MODE INSTRUMENT: RILD MODE, SOFI (SON OF ISAAC) }                                                                                               ","FORNASIERETAL2010"
"data/compspectra/498tokio.lbl                    ","498 TOKIO      ","ASTEROID","498tokio.tab                   ","COMPSPECTRA_498TOKIO_TAB                ","2005-08-12      ","2005-08-13      ","OBS056T9                        ","EUROPEAN SOUTHERN OBSERVATORY NEW TECHNOLOGY TELESCOPE (NTT)                                                                                                                                                                       ","{ I0373, I1094 }                     ","{ ESO MULTI-MODE INSTRUMENT: RILD MODE, SOFI (SON OF ISAAC) }                                                                                               ","FORNASIERETAL2010"
"data/compspectra/516amherstia.lbl                ","516 AMHERSTIA  ","ASTEROID","516amherstia.tab               ","COMPSPECTRA_516AMHERSTIA_TAB            ","2004-11-19      ","2007-01-20      ","{ OBS270T7, OBS056T9 }          ","{ ROQUE DE LOS MUCHACHOS OBSERVATORY 3.5-M GALILEO ZEISS RITCHEY-CHRETIEN ALTAZIMUTH REFLECTOR, EUROPEAN SOUTHERN OBSERVATORY NEW TECHNOLOGY TELESCOPE (NTT) }                                                                     ","{ I1093, I0373 }                     ","{ NEAR INFRARED CAMERA SPECTROMETER (NICS), ESO MULTI-MODE INSTRUMENT: RILD MODE }                                                                          ","FORNASIERETAL2010"
"data/compspectra/558carmen.lbl                   ","558 CARMEN     ","ASTEROID","558carmen.tab                  ","COMPSPECTRA_558CARMEN_TAB               ","2005-08-13      ","2005-08-13      ","OBS056T9                        ","EUROPEAN SOUTHERN OBSERVATORY NEW TECHNOLOGY TELESCOPE (NTT)                                                                                                                                                                       ","I0373                                ","ESO MULTI-MODE INSTRUMENT: RILD MODE                                                                                                                        ","FORNASIERETAL2010"
"data/compspectra/55pandora.lbl                   ","55 PANDORA     ","ASTEROID","55pandora.tab                  ","COMPSPECTRA_55PANDORA_TAB               ","2004-05-25      ","2005-09-20      ","{ OBS376T3, OBS056T9 }          ","{ MAUNA KEA OBSERVATORY 3.0-M NASA INFRARED TELESCOPE FACILITY (IRTF), EUROPEAN SOUTHERN OBSERVATORY NEW TECHNOLOGY TELESCOPE (NTT) }                                                                                              ","{ I0046, I0373 }                     ","{ SPEX, ESO MULTI-MODE INSTRUMENT: RILD MODE }                                                                                                              ","FORNASIERETAL2010"
