 1064 Aethusa     FIEBERBEYER_GAFFEY2014/1064.tab        2011-06-04T10:08:15 2011-06-04T12:07:35 62 5580 13.06  6.86 1.18 2.17 0.016 SAO 185742 0.8 1.621
 6649 Yokotatakao FIEBERBEYER_GAFFEY2014/6649.tab        2011-07-18T13:19:54 2011-07-18T14:13:47 16 1920 14.89 13.07 0.93 1.89 0.016 HD 205426  0.8 1.353
 1722 Goffin      FIEBERBEYER_GAFFEY2014/1722.tab        2011-07-19T11:02:13 2011-07-19T11:31:30 10 1200 15.73  2.78 1.62 2.63 0.016 HD 205426  0.8 1.214
 1018 Arnolda     FIEBERBEYER_GAFFEY2014/1018.tab        2011-07-19T14:01:17 2011-07-19T15:15:27 18 2160 14.92 29.36 2.03 1.97 0.016 HD 205426  0.8 1.431
 1501 Baade       FIEBERBEYER_GAFFEY2014/1501.tab        2011-07-20T13:14:57 2011-07-20T14:10:40 20 2400 15.59 23.63 1.40 2.13 0.016 HD 205426  0.8 1.204
  660 Crescentia  FIEBERBEYER_GAFFEY2014/660.tab         2010-06-13T07:46:22 2010-06-13T07:59:00 14  840 12.20 11.41 1.31 2.26 0.016 SAO 157621 0.8 1.283
 1644 Rafita      FIEBERBEYER_GAFFEY2014/1644.tab        2010-06-13T06:15:44 2010-06-13T07:11:36 26 3120 16.44 20.02 1.99 2.63 0.016 SAO 157621 0.8 1.214
  879 Ricarda     FIEBERBEYER_GAFFEY2014/879.tab         2010-06-14T13:42:43 2010-06-14T14:38:41 26 3120 16.46 27.18 2.15 2.17 0.016 SAO 27996  0.8 1.414
  797 Montana     FIEBERBEYER_GAFFEY2014/797.tab         2010-06-14T10:21:27 2010-06-14T11:26:09 26 3120 13.91 12.70 1.51 2.43 0.016 SAO 27996  0.8 1.483
 1391 Carelia     FIEBERBEYER_GAFFEY2014/1391.tab        2010-06-14T12:00:55 2010-06-14T13:04:39 26 3120 15.41  8.55 1.47 2.45 0.016 SAO 27996  0.8 1.322
   46 Hestia      FIEBERBEYER_GAFFEY2015/46.tab          2013-06-18T05:30:27 2013-06-18T06:37:35 03  360 12.51 13.00 1.74 2.63 0.016 HD 135299  0.8 1.542
  248 Lameia      FIEBERBEYER_GAFFEY2015/248.tab         2013-05-31T05:17:09 2013-05-31T06:01:25 14 1680 13.08 17.18 1.48 2.33 0.016 HD 118928  0.8 1.405
  355 Gabriella   FIEBERBEYER_GAFFEY2015/355.tab         2012-06-05T12:51:17 2012-06-05T13:21:37 13 1560 14.89 17.90 2.12 2.79 0.016 HD 201183  0.8 1.486
 1368 Numidia     FIEBERBEYER_GAFFEY2015/1368.tab        2014-01-31T08:05:30 2014-01-31T08:35:31 14 1680 15.26 14.78 1.88 2.68 0.016 SAO 80548  0.8 1.105
 1447 Utra        FIEBERBEYER_GAFFEY2015/1447.tab        2012-06-02T13:59:03 2012-06-02T14:29:22 04  480 15.84 13.96 1.77 2.64 0.016 SAO 188360 0.8 1.534
 1587 Kahrstedt   FIEBERBEYER_GAFFEY2015/1587.tab        2014-01-31T10:45:58 2014-01-31T11:30:00 20 2400 14.21 11.36 1.34 2.26 0.016 HD 95868   0.8 1.089
 1854 Skvortsov   FIEBERBEYER_GAFFEY2015/1854.tab        2014-01-31T12:17:29 2014-01-31T12:57:19 16 1920 15.02  3.37 1.24 2.22 0.016 SAO98240   0.8 1.132
 1960 Guisan      FIEBERBEYER_GAFFEY2015/1960.tab        2012-06-05T07:24:22 2012-06-05T08:08:39 17 2040 15.07 11.60 1.34 2.29 0.016 SAO 183069 0.8 1.495
 2497 Kulikovskij FIEBERBEYER_GAFFEY2015/2497.tab        2013-05-31T06:54:01 2013-05-31T07:47:36 13 1560 15.60 10.44 1.15 2.12 0.016 HD 132412  0.8 1.694
 3345 Tarkovskij  FIEBERBEYER_GAFFEY2015/3345.tab        2014-01-31T07:14:34 2014-01-31T07:49:15 16 1920 15.60 25.62 1.58 2.13 0.016 SAO 80548  0.8 1.128
 3999 Aristarchus FIEBERBEYER_GAFFEY2015/3999.tab        2013-05-31T09:49:06 2013-05-31T10:19:24 14  840 15.72  3.56 1.46 2.46 0.016 HD 140854  0.8 1.383
 5676 Voltaire    FIEBERBEYER_GAFFEY2015/5676.tab        2013-05-31T11:23:06 2013-05-31T12:31:20 17 3240 15.68 10.87 1.49 2.43 0.016 HD 164735  0.8 1.102
 6212 -           FIEBERBEYER_GAFFEY2015/6212.tab        2012-06-02T13:03:57 2012-06-02T13:26:58 04  480 15.12  4.41 1.17 2.18 0.016 HD 148132  0.8 1.834
